Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
semeion,RotBoost,4,"{'adaboost_base_estimator__max_depth': 6, 'adaboost_learning_rate': 0.9980897851729823, 'n_estimators': 10, 'n_estimators_of_adaboost': 9, 'n_features_per_subset': 5}",0.988679245,0.942083333,0.006293706,0.948418043,0.99631475,0.980750157,55.96912837,2.32764737
semeion,RotBoost,5,"{'adaboost_base_estimator__max_depth': 5, 'adaboost_learning_rate': 0.7396333222907518, 'n_estimators': 8, 'n_estimators_of_adaboost': 8, 'n_features_per_subset': 4}",0.99245283,0.962083333,0.004181235,0.965359477,0.998894393,0.990654643,28.70549607,1.208891074
semeion,RotBoost,6,"{'adaboost_base_estimator__max_depth': 4, 'adaboost_learning_rate': 0.46050486246396705, 'n_estimators': 5, 'n_estimators_of_adaboost': 8, 'n_features_per_subset': 3}",0.98490566,0.924166667,0.008386752,0.930137845,0.994775641,0.961494,16.37282109,1.178961796
semeion,RotBoost,7,"{'adaboost_base_estimator__max_depth': 5, 'adaboost_learning_rate': 0.9899391751711012, 'n_estimators': 10, 'n_estimators_of_adaboost': 10, 'n_features_per_subset': 5}",0.989937107,0.94875,0.005589549,0.951049522,0.99793771,0.981670346,62.1240797,2.365746683
semeion,RotBoost,8,"{'adaboost_base_estimator__max_depth': 6, 'adaboost_learning_rate': 0.7386950875065348, 'n_estimators': 10, 'n_estimators_of_adaboost': 10, 'n_features_per_subset': 5}",0.99245283,0.962083333,0.004195804,0.963839869,0.998246568,0.986595224,58.92380786,2.138371263
semeion,RotBoost,9,"{'adaboost_base_estimator__max_depth': 5, 'adaboost_learning_rate': 0.9894316573707331, 'n_estimators': 10, 'n_estimators_of_adaboost': 9, 'n_features_per_subset': 6}",0.986163522,0.930833333,0.007677739,0.932195378,0.997876198,0.984010507,54.84194851,2.302729763
semeion,RotBoost,10,"{'adaboost_base_estimator__max_depth': 5, 'adaboost_learning_rate': 0.5978767276702003, 'n_estimators': 8, 'n_estimators_of_adaboost': 7, 'n_features_per_subset': 5}",0.987421384,0.936666667,0.006988151,0.938851541,0.994641932,0.976495154,31.05135489,1.16611856
sleuth_case2002,RotationForest,1,"{'max_depth': 2, 'min_samples_leaf': 4, 'min_samples_split': 9, 'n_estimators': 15, 'n_features_per_subset': 2}",0.6,0.598214286,0.401785714,0.598214286,0.589285714,0.672479604,0.113996983,0.787942699
sleuth_case2002,RotationForest,2,"{'max_depth': 37, 'min_samples_leaf': 7, 'min_samples_split': 6, 'n_estimators': 35, 'n_features_per_subset': 2}",0.666666667,0.660714286,0.339285714,0.666666667,0.714285714,0.812959957,0.227998257,0.795478171
sleuth_case2002,RotationForest,3,"{'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 43, 'n_features_per_subset': 2}",0.733333333,0.741071429,0.258928571,0.75,0.785714286,0.830330433,0.234001398,0.795470946
sleuth_case2002,RotationForest,4,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 6, 'n_features_per_subset': 4}",0.733333333,0.741071429,0.258928571,0.75,0.705357143,0.789935412,0.108004332,0.787924636
sleuth_case2002,RotationForest,5,"{'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 39, 'n_features_per_subset': 2}",0.666666667,0.660714286,0.339285714,0.666666667,0.714285714,0.791558442,0.225001812,0.795489008
sleuth_case2002,RotationForest,6,"{'max_depth': 87, 'min_samples_leaf': 8, 'min_samples_split': 8, 'n_estimators': 1, 'n_features_per_subset': 5}",0.8,0.803571429,0.196428571,0.803571429,0.910714286,0.926902958,0.104961157,0.015190153
